Calories,Protein,Fat,Carbs,Fibre,,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
73,2,,16,0.4,,
129,3,,29,0.1,,
45,1,1,7,0.2,,
206,2,4,39,1.8,,
296,2,14,43,2.0,,
411,4,19,58,2.3,,
196,3,6,33,0.7,,
231,3,12,29,0.6,,
186,3,8,25,0.7,,
97,2,4,14,0.4,,
212,4,10,27,0.9,,
93,2,4,13,0.4,,
232,2,8,39,1.3,,
162,6,5,24,0.9,,
197,3,5,33,2.4,,
138,2,6,22,0.7,,
168,2,10,18,0.8,,
248,2,14,29,0.7,,
542,5,28,70,1.5,,
135,2,3,26,1.2,,
321,6,23,26,0.4,,
407,8,19,53,2.8,,
459,11,23,55,0.8,,
325,3,14,50,1.0,,
98,1,5,13,0.6,,
156,2,9,19,0.9,,
118,1,5,16,0.4,,
129,1,4,21,0.6,,
344,3,22,38,2.3,,
93,1,4,14,0.6,,
362,4,13,61,2.0,,
282,3,10,48,2.0,,
408,4,16,67,1.9,,
191,1,11,24,0.8,,
194,2,6,35,0.9,,
237,4,13,26,1.1,,
142,2,4,24,0.5,,
231,5,12,26,1.5,,
262,5,15,29,0.8,,
263,4,13,34,1.3,,
226,3,8,37,2.3,,
198,2,11,23,0.7,,
270,3,18,27,1.1,,
242,4,14,27,0.7,,
289,5,16,33,0.8,,
262,6,16,24,0.6,,
111,1,2,23,1.5,,
404,4,21,55,3.3,,
139,1,4,26,1.6,,
58,1,1,11,0.3,,
212,3,7,35,0.8,,
59,1,1,11,0.4,,
105,2,4,17,1.1,,
118,3,5,16,1.3,,
109,1,3,20,1.0,,
127,2,6,18,1.6,,
188,4,12,20,1.0,,
124,2,5,19,1.3,,
303,2,10,53,1.4,,
477,4,18,79,4.3,,
129,2,4,22,0.3,,
178,2,6,30,0.6,,
199,4,8,32,3.7,,
344,7,14,49,1.9,,
366,8,14,53,2.4,,
313,6,7,54,2.9,,
162,4,6,23,0.9,,
117,2,5,18,0.7,,
134,2,5,20,0.7,,
134,2,6,18,0.5,,
190,4,10,24,1.5,,
452,5,21,65,4.0,,
391,5,23,42,0.4,,
229,4,10,30,2.9,,
91,1,2,18,0.1,,
80,1,4,10,0.3,,
185,2,12,19,0.5,,
234,5,8,34,1.0,,
72,1,1,15,0.1,,
187,5,3,36,0.2,,
143,2,6,20,0.2,,
142,2,4,25,0.4,,
407,3,31,31,0.5,,
206,3,7,34,0.5,,
215,2,6,39,0.4,,
57,1,2,9,0.2,,
363,3,10,66,0.9,,
283,2,8,52,1.0,,
371,3,9,70,0.3,,
363,4,11,64,0.9,,
210,1,,47,0,,
183,1,0,10,0.7,,
99,1,0,5,0,,
140,1,0,10,0,,
149,5,3,26,0,,
131,,,32,0.3,,
0,0,0,0,0,,
237,,,9,0.1,,
246,,,6,0.1,,
3,,,0,0,,
3,,0,0,0,,
5,,,1,0,,
101,5,6,7,0,,
13,,,3,0.8,,
110,,0,28,0,,
3,,0,,0,,
107,0,0,28,0,,
3,0,,1,0,,
102,0,,26,0,,
102,0,,26,0,,
123,0,0,33,0,,
88,0,0,23,0,,
211,2,9,28,0,,
127,3,1,27,0,,
127,3,2,26,0,,
91,0,0,23,0,,
93,,,23,0,,
105,,,27,0.2,,
104,0,0,27,0,,
172,1,8,11,0,,
113,,,29,0.3,,
0,0,0,,0,,
