,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74
1,female,group C,some college,standard,,married,sometimes,yes,0,,05-Oct,69,90,88
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,05-Oct,45,56,42
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,76,78,75
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,73,84,79
6,female,group B,some college,standard,completed,widowed,never,no,1,private,05-Oct,85,93,89
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,05-Oct,58,54,52
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,40,52,43
12,female,group B,high school,standard,none,married,regularly,no,1,private,05-Oct,66,82,74
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,69,75,78
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,05-Oct,88,89,86
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,18,32,28
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,05-Oct,46,42,47
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,05-Oct,66,69,63
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,05-Oct,65,75,70
22,male,group D,,standard,none,married,never,yes,5,,05-Oct,42,53,51
23,female,group C,some high school,standard,none,divorced,never,no,3,,05-Oct,66,71,71
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,74,71,80
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,75,76,76
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76
28,male,group C,high school,standard,none,married,sometimes,no,1,private,05-Oct,70,70,65
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72
31,female,group B,some college,standard,none,single,sometimes,yes,5,,05-Oct,63,65,61
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,56,73,66
33,male,,some college,standard,none,married,sometimes,no,2,private,05-Oct,40,42,38
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,,97,87,82
35,male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,05-Oct,81,81,79
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,05-Oct,76,82,85
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,51,64,60
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,05-Oct,77,91,90
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,05-Oct,58,56,58
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,05-Oct,53,60,52
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,,05-Oct,59,74,69
43,male,group B,some college,free/reduced,,married,regularly,yes,3,school_bus,05-Oct,60,65,67
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55
47,female,group C,high school,standard,none,married,regularly,yes,,private,05-Oct,67,72,77
49,male,group C,high school,standard,completed,married,sometimes,,3,,05-Oct,82,84,82
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,54,55,48
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,05-Oct,88,78,75
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,05-Oct,33,41,43
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,05-Oct,52,55,49
58,male,group D,,standard,completed,married,regularly,no,1,private,> 10,61,60,60
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,05-Oct,39,39,34
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,05-Oct,62,61,55
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,59,58,59
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,05-Oct,45,37,37
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,61,73,75
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,,62,58,57
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,05-Oct,39,64,57
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,05-Oct,42,51,49
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,05-Oct,59,56,54
74,male,group C,some high school,standard,,married,sometimes,yes,2,private,< 5,47,48,40
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,05-Oct,44,41,38
76,male,group E,some high school,standard,none,,sometimes,no,5,school_bus,05-Oct,28,25,21
77,male,group A,,standard,completed,,regularly,yes,,,05-Oct,82,79,83
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,05-Oct,60,68,68
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,,49,45,45
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,05-Oct,50,47,54
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,74,64,64
84,male,group D,high school,free/reduced,none,married,never,,3,private,05-Oct,40,38,33
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,05-Oct,73,80,82
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,05-Oct,71,71,74
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,,05-Oct,27,34,36
92,male,group C,high school,standard,none,divorced,sometimes,no,1,,< 5,68,77,69
